point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,长乐话音系
SZ02,嵊州长乐,太湖片-临绍小片,,,歌,T,多,o,,
SZ02,嵊州长乐,太湖片-临绍小片,,,歌,T,拖,a/o,白读/文读,
SZ02,嵊州长乐,太湖片-临绍小片,,,歌,T,他,a/o,/其～,
SZ02,嵊州长乐,太湖片-临绍小片,,,歌,T,驼,o,,
SZ02,嵊州长乐,太湖片-临绍小片,,,歌,T,驮,o,,
SZ02,嵊州长乐,太湖片-临绍小片,,,歌,T,陀,o,,
SZ02,嵊州长乐,太湖片-临绍小片,,,歌,T,鸵,,,
SZ02,嵊州长乐,太湖片-临绍小片,,,歌,T,沱,,,
SZ02,嵊州长乐,太湖片-临绍小片,,,歌,T,舵,o,,
SZ02,嵊州长乐,太湖片-临绍小片,,,歌,T,大,a/o,文读/白读,
SZ02,嵊州长乐,太湖片-临绍小片,,,歌,T,驮,o,,
SZ02,嵊州长乐,太湖片-临绍小片,,,歌,N,挪,o,,
SZ02,嵊州长乐,太湖片-临绍小片,,,歌,N,哪,a,,
SZ02,嵊州长乐,太湖片-临绍小片,,,歌,N,那,a,,
SZ02,嵊州长乐,太湖片-临绍小片,,,歌,L,罗,o,,
SZ02,嵊州长乐,太湖片-临绍小片,,,歌,L,锣,o,,
SZ02,嵊州长乐,太湖片-临绍小片,,,歌,L,箩,o,,
SZ02,嵊州长乐,太湖片-临绍小片,,,歌,L,萝,o,,
SZ02,嵊州长乐,太湖片-临绍小片,,,歌,L,逻,o,,
SZ02,嵊州长乐,太湖片-临绍小片,,,歌,TS,左,o,,
SZ02,嵊州长乐,太湖片-临绍小片,,,歌,TS,佐,o,,
SZ02,嵊州长乐,太湖片-临绍小片,,,歌,TS,搓,,,
SZ02,嵊州长乐,太湖片-临绍小片,,,歌,TS,娑,ɔ,,
SZ02,嵊州长乐,太湖片-临绍小片,,,歌,K,歌,o,,
SZ02,嵊州长乐,太湖片-临绍小片,,,歌,K,哥,o,,
SZ02,嵊州长乐,太湖片-临绍小片,,,歌,K,柯,o,,
SZ02,嵊州长乐,太湖片-临绍小片,,,歌,K,个,a/o,白读/文读,
SZ02,嵊州长乐,太湖片-临绍小片,,,歌,K,轲,o,,
SZ02,嵊州长乐,太湖片-临绍小片,,,歌,K,可,o,,
SZ02,嵊州长乐,太湖片-临绍小片,,,歌,K,蛾,a,蚕～,
SZ02,嵊州长乐,太湖片-临绍小片,,,歌,K,鹅,o,,
SZ02,嵊州长乐,太湖片-临绍小片,,,歌,K,俄,o,,
SZ02,嵊州长乐,太湖片-临绍小片,,,歌,K,娥,o,,
SZ02,嵊州长乐,太湖片-临绍小片,,,歌,K,我,o,,
SZ02,嵊州长乐,太湖片-临绍小片,,,歌,K,饿,o,,
SZ02,嵊州长乐,太湖片-临绍小片,,,歌,Ø,荷,o,,
SZ02,嵊州长乐,太湖片-临绍小片,,,歌,Ø,河,o,,
SZ02,嵊州长乐,太湖片-临绍小片,,,歌,Ø,何,o,,
SZ02,嵊州长乐,太湖片-临绍小片,,,歌,Ø,荷,o,,
SZ02,嵊州长乐,太湖片-临绍小片,,,歌,Ø,贺,o,,
SZ02,嵊州长乐,太湖片-临绍小片,,,歌,Ø,阿,o,～胶,
SZ02,嵊州长乐,太湖片-临绍小片,,,歌,Ø,屙,o,,
SZ02,嵊州长乐,太湖片-临绍小片,,,戈,K,茄,ia,,
SZ02,嵊州长乐,太湖片-临绍小片,,,戈,P,波,o,,
SZ02,嵊州长乐,太湖片-临绍小片,,,戈,P,菠,,,
SZ02,嵊州长乐,太湖片-临绍小片,,,戈,P,跛,,,
SZ02,嵊州长乐,太湖片-临绍小片,,,戈,P,簸,,,
SZ02,嵊州长乐,太湖片-临绍小片,,,戈,P,簸,,,
SZ02,嵊州长乐,太湖片-临绍小片,,,戈,P,播,o,,
SZ02,嵊州长乐,太湖片-临绍小片,,,戈,P,颇,o,,
SZ02,嵊州长乐,太湖片-临绍小片,,,戈,P,坡,o,,
SZ02,嵊州长乐,太湖片-临绍小片,,,戈,P,玻,ɔ,,
SZ02,嵊州长乐,太湖片-临绍小片,,,戈,P,破,a/o,白读/文读,
SZ02,嵊州长乐,太湖片-临绍小片,,,戈,P,婆,o,,
SZ02,嵊州长乐,太湖片-临绍小片,,,戈,P,薄,o,,
SZ02,嵊州长乐,太湖片-临绍小片,,,戈,M,魔,o,,
SZ02,嵊州长乐,太湖片-临绍小片,,,戈,M,磨,o,,
SZ02,嵊州长乐,太湖片-临绍小片,,,戈,M,摩,,,
SZ02,嵊州长乐,太湖片-临绍小片,,,戈,M,馍,,,
SZ02,嵊州长乐,太湖片-临绍小片,,,戈,M,蘑,o,,
