point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,浙江德清（乾元）方言音系
DQ01,德清乾元,太湖片-苕溪小片,,,歌,T,多,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,歌,T,拖,u/a,文读/白读 牵拉、垂,
DQ01,德清乾元,太湖片-苕溪小片,,,歌,T,他,a,,
DQ01,德清乾元,太湖片-苕溪小片,,,歌,T,驼,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,歌,T,驮,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,歌,T,陀,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,歌,T,鸵,,,
DQ01,德清乾元,太湖片-苕溪小片,,,歌,T,沱,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,歌,T,舵,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,歌,T,大,u/a,白读/文读,
DQ01,德清乾元,太湖片-苕溪小片,,,歌,T,驮,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,歌,N,挪,ɔ,,
DQ01,德清乾元,太湖片-苕溪小片,,,歌,N,哪,aʔ,,
DQ01,德清乾元,太湖片-苕溪小片,,,歌,N,那,,,
DQ01,德清乾元,太湖片-苕溪小片,,,歌,L,罗,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,歌,L,锣,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,歌,L,箩,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,歌,L,萝,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,歌,L,逻,,,
DQ01,德清乾元,太湖片-苕溪小片,,,歌,TS,左,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,歌,TS,佐,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,歌,TS,搓,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,歌,TS,娑,,,
DQ01,德清乾元,太湖片-苕溪小片,,,歌,K,歌,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,歌,K,哥,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,歌,K,柯,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,歌,K,个,oʔ,,
DQ01,德清乾元,太湖片-苕溪小片,,,歌,K,轲,,,
DQ01,德清乾元,太湖片-苕溪小片,,,歌,K,可,ɔ,,
DQ01,德清乾元,太湖片-苕溪小片,,,歌,K,蛾,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,歌,K,鹅,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,歌,K,俄,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,歌,K,娥,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,歌,K,我,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,歌,K,饿,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,歌,Ø,荷,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,歌,Ø,河,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,歌,Ø,何,u/a,/～事,
DQ01,德清乾元,太湖片-苕溪小片,,,歌,Ø,荷,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,歌,Ø,贺,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,歌,Ø,阿,u,～胶,
DQ01,德清乾元,太湖片-苕溪小片,,,歌,Ø,屙,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,戈,K,茄,a,,
DQ01,德清乾元,太湖片-苕溪小片,,,戈,P,波,u,,
DQ01,德清乾元,太湖片-苕溪小片,,,戈,P,菠,u,,
