point_id,point_name,subbranch,lat,lon,韵,声组,汉字,读音,note,浙江诸暨方言同音字汇
ZJ01,诸暨城关,太湖片-临绍小片,,,歌,T,多,ɔi,,
ZJ01,诸暨城关,太湖片-临绍小片,,,歌,T,拖,ɔi,,
ZJ01,诸暨城关,太湖片-临绍小片,,,歌,T,他,,,
ZJ01,诸暨城关,太湖片-临绍小片,,,歌,T,驼,ɔi,,
ZJ01,诸暨城关,太湖片-临绍小片,,,歌,T,驮,ɔi,,
ZJ01,诸暨城关,太湖片-临绍小片,,,歌,T,陀,ɔi,,
ZJ01,诸暨城关,太湖片-临绍小片,,,歌,T,鸵,,,
ZJ01,诸暨城关,太湖片-临绍小片,,,歌,T,沱,,,
ZJ01,诸暨城关,太湖片-临绍小片,,,歌,T,舵,ɔi,,
ZJ01,诸暨城关,太湖片-临绍小片,,,歌,T,大,a/ɔi,文读/白读,
ZJ01,诸暨城关,太湖片-临绍小片,,,歌,T,驮,ɔi,,
ZJ01,诸暨城关,太湖片-临绍小片,,,歌,N,挪,ɔi,,
ZJ01,诸暨城关,太湖片-临绍小片,,,歌,N,哪,,,
ZJ01,诸暨城关,太湖片-临绍小片,,,歌,N,那,,,
ZJ01,诸暨城关,太湖片-临绍小片,,,歌,L,罗,ɔi,,
ZJ01,诸暨城关,太湖片-临绍小片,,,歌,L,锣,,,
ZJ01,诸暨城关,太湖片-临绍小片,,,歌,L,箩,ɔi,,
ZJ01,诸暨城关,太湖片-临绍小片,,,歌,L,萝,,,
ZJ01,诸暨城关,太湖片-临绍小片,,,歌,L,逻,,,
ZJ01,诸暨城关,太湖片-临绍小片,,,歌,TS,左,ɔi,,
ZJ01,诸暨城关,太湖片-临绍小片,,,歌,TS,佐,ɔi,,
ZJ01,诸暨城关,太湖片-临绍小片,,,歌,TS,搓,o/ɔi,～麻将/～衣服,
ZJ01,诸暨城关,太湖片-临绍小片,,,歌,TS,娑,,,
ZJ01,诸暨城关,太湖片-临绍小片,,,歌,K,歌,ɔi,,
ZJ01,诸暨城关,太湖片-临绍小片,,,歌,K,哥,ɔi,,
ZJ01,诸暨城关,太湖片-临绍小片,,,歌,K,柯,,,
ZJ01,诸暨城关,太湖片-临绍小片,,,歌,K,个,a,,
ZJ01,诸暨城关,太湖片-临绍小片,,,歌,K,轲,,,
ZJ01,诸暨城关,太湖片-临绍小片,,,歌,K,可,ɔi,,
ZJ01,诸暨城关,太湖片-临绍小片,,,歌,K,蛾,ɔi,,
ZJ01,诸暨城关,太湖片-临绍小片,,,歌,K,鹅,ɔi,,
ZJ01,诸暨城关,太湖片-临绍小片,,,歌,K,俄,,,
ZJ01,诸暨城关,太湖片-临绍小片,,,歌,K,娥,,,
ZJ01,诸暨城关,太湖片-临绍小片,,,歌,K,我,ɔi,,
ZJ01,诸暨城关,太湖片-临绍小片,,,歌,K,饿,ɔi,,
ZJ01,诸暨城关,太湖片-临绍小片,,,歌,Ø,荷,ɔi,,
ZJ01,诸暨城关,太湖片-临绍小片,,,歌,Ø,河,ɔi,,
ZJ01,诸暨城关,太湖片-临绍小片,,,歌,Ø,何,ɔi,,
ZJ01,诸暨城关,太湖片-临绍小片,,,歌,Ø,荷,ɔi,,
ZJ01,诸暨城关,太湖片-临绍小片,,,歌,Ø,贺,,,
ZJ01,诸暨城关,太湖片-临绍小片,,,歌,Ø,阿,,,
ZJ01,诸暨城关,太湖片-临绍小片,,,歌,Ø,屙,,,
ZJ01,诸暨城关,太湖片-临绍小片,,,戈,K,茄,ia,,
ZJ01,诸暨城关,太湖片-临绍小片,,,戈,P,波,ɔi,,
ZJ01,诸暨城关,太湖片-临绍小片,,,戈,P,菠,ɔi,,
ZJ01,诸暨城关,太湖片-临绍小片,,,戈,P,跛,ɔi,,
ZJ01,诸暨城关,太湖片-临绍小片,,,戈,P,簸,ɔi,,
ZJ01,诸暨城关,太湖片-临绍小片,,,戈,P,簸,ɔi,,
ZJ01,诸暨城关,太湖片-临绍小片,,,戈,P,播,ɔi,,
ZJ01,诸暨城关,太湖片-临绍小片,,,戈,P,颇,,,
ZJ01,诸暨城关,太湖片-临绍小片,,,戈,P,坡,ɔi,,
ZJ01,诸暨城关,太湖片-临绍小片,,,戈,P,玻,ɔi,,
ZJ01,诸暨城关,太湖片-临绍小片,,,戈,P,破,a/ɔi,,
ZJ01,诸暨城关,太湖片-临绍小片,,,戈,P,婆,ɔi,,
ZJ01,诸暨城关,太湖片-临绍小片,,,戈,P,薄,ɔi,,
ZJ01,诸暨城关,太湖片-临绍小片,,,戈,M,魔,ɔi,,
ZJ01,诸暨城关,太湖片-临绍小片,,,戈,M,磨,ɔi,,
ZJ01,诸暨城关,太湖片-临绍小片,,,戈,M,摩,ɔi,,
ZJ01,诸暨城关,太湖片-临绍小片,,,戈,M,馍,,,
ZJ01,诸暨城关,太湖片-临绍小片,,,戈,M,蘑,ɔi,,
ZJ01,诸暨城关,太湖片-临绍小片,,,戈,M,磨,ɔi,,
ZJ01,诸暨城关,太湖片-临绍小片,,,戈,T,朵,ɔi,,
ZJ01,诸暨城关,太湖片-临绍小片,,,戈,T,躲,ɔi,,
ZJ01,诸暨城关,太湖片-临绍小片,,,戈,T,剁,,,
ZJ01,诸暨城关,太湖片-临绍小片,,,戈,T,妥,ɔi,,
ZJ01,诸暨城关,太湖片-临绍小片,,,戈,T,椭,ɔi,,
ZJ01,诸暨城关,太湖片-临绍小片,,,戈,T,唾,u,,
ZJ01,诸暨城关,太湖片-临绍小片,,,戈,T,砣,,,
ZJ01,诸暨城关,太湖片-临绍小片,,,戈,T,惰,ɔi,,
ZJ01,诸暨城关,太湖片-临绍小片,,,戈,T,垛,,,
ZJ01,诸暨城关,太湖片-临绍小片,,,戈,T,堕,,,
ZJ01,诸暨城关,太湖片-临绍小片,,,戈,N,挼,,,
ZJ01,诸暨城关,太湖片-临绍小片,,,戈,N,糯,ɔi,,
ZJ01,诸暨城关,太湖片-临绍小片,,,戈,N,懦,ɔi,,
ZJ01,诸暨城关,太湖片-临绍小片,,,戈,L,骡,,,
ZJ01,诸暨城关,太湖片-临绍小片,,,戈,L,螺,ɔi,,
ZJ01,诸暨城关,太湖片-临绍小片,,,戈,L,脶,,,
ZJ01,诸暨城关,太湖片-临绍小片,,,戈,L,啰,,,
ZJ01,诸暨城关,太湖片-临绍小片,,,戈,L,裸,ɔi,,
ZJ01,诸暨城关,太湖片-临绍小片,,,戈,L,瘰,,,
ZJ01,诸暨城关,太湖片-临绍小片,,,戈,L,摞,,,
ZJ01,诸暨城关,太湖片-临绍小片,,,戈,TS,锉,,,
ZJ01,诸暨城关,太湖片-临绍小片,,,戈,TS,莝,,,
ZJ01,诸暨城关,太湖片-临绍小片,,,戈,TS,矬,,,
ZJ01,诸暨城关,太湖片-临绍小片,,,戈,TS,坐,ɔi,,
ZJ01,诸暨城关,太湖片-临绍小片,,,戈,TS,座,ɔi,,
