s4_status,s4_core_relation,point_count
diphthong_or_glide_only,no_s4_monophthong,4
mixed_mono_and_diphthong,all_s4_mono_in_core_back_inventory,7
mixed_mono_and_diphthong,all_s4_mono_in_core_inventory,3
mixed_mono_and_diphthong,partial_s4_mono_in_core_inventory,17
mixed_mono_and_diphthong,s4_mono_outside_core_inventory,4
mixed_with_other,all_s4_mono_in_core_back_inventory,4
mixed_with_other,no_s4_monophthong,1
mixed_with_other,partial_s4_mono_in_core_inventory,5
mixed_with_other,s4_mono_outside_core_inventory,1
monophthong_only,all_s4_mono_in_core_back_inventory,6
monophthong_only,all_s4_mono_in_core_inventory,3
monophthong_only,partial_s4_mono_in_core_inventory,10
monophthong_only,s4_mono_outside_core_inventory,1
